n,seconds
5,9.4600000011269e-05
10,0.0001864000005298294
15,0.0002643999978317879
20,0.0005391000013332814
25,0.0008904999995138496
30,0.0011550000053830445
35,0.0016274000008706935
40,0.0037162000007811002
